reviewer,time,context,ranking,Chi nhánh,Sentiment,pre_context,tokens
Hà Hà,4 tháng trước,"Mua bắp và nước nhưng nhân viên ấn bill bắp nước + snack và không hề hỏi ý kiến gì với khách nhé, chỉ hỏi uống nước gì và ăn bắp vị gì không đá động gì tới snack cả.",1,CGV Giga Mall Thủ Đức,0,mua bắp nhân viên ấn bill bắp + snack hề kiến uống bắp vị đá động snack,"['mua', 'bắp', 'nhân_viên', 'ấn', 'bill', 'bắp', '+', 'snack', 'hề', 'kiến', 'uống', 'bắp', 'vị', 'đá', 'động', 'snack']"
Khoa Nguyễn Tuấn,9 tháng trước,"Vì sao Mùng 1 Vincom đóng cửa, block hết các lối ra vào, CGV vẫn hoạt động thì nên có giải pháp hỗ trợ khách hàng vô rạp. Đi hết 6 cái cửa mất hơn 15p mới vô đc rạp.",1,CGV Vincom Center Landmark,0,mùng 1 vincom đóng cửa block lối cgv hoạt động giải pháp hỗ trợ hàng vô rạp đi 6 cửa 15p vô đc rạp,"['mùng', '1', 'vincom', 'đóng_cửa', 'block', 'lối', 'cgv', 'hoạt_động', 'giải_pháp', 'hỗ_trợ', 'hàng', 'vô', 'rạp', 'đi', '6', 'cửa', '15p', 'vô', 'đc', 'rạp']"
Vo Hoang Phuong Lam,2 năm trước,NV nữ bán vé cổng ngày CN 27.3.22 quá tệ. Khách hỏi giá có thẻ Gold sao chỉ rẻ hơn có 5k sv ko có thẻ mà ko trả lời đc chỉ nói là hệ thống tính vậy thì e biết vậy. …,1,CGV Vincom Thủ Đức,0,nv nữ vé cổng cn 27 3 22 tệ giá thẻ gold rẻ 5k sv ko thẻ ko đc hệ thống e,"['nv', 'nữ', 'vé', 'cổng', 'cn', '27', '3', '22', 'tệ', 'giá', 'thẻ', 'gold', 'rẻ', '5k', 'sv', 'ko', 'thẻ', 'ko', 'đc', 'hệ_thống', 'e']"
Thuỵ Băng,một năm trước,"Rạp chiếu 20p r mà ko bật tiếng, ko tắt đèn, khách complain thì ko chiếu lại đc, chỉ refill bâp nc chứ cũng ko hoàn tiền, nv xử lý cực kỳ chậm và thiếu chuyên nghiệp",1,CGV Vincom Đồng Khởi,0,rạp chiếu 20p r ko bật tiếng ko tắt đèn complain ko chiếu đc refill bâp nc ko hoàn tiền nv xử lý cực kỳ chậm chuyên nghiệp,"['rạp', 'chiếu', '20p', 'r', 'ko', 'bật', 'tiếng', 'ko', 'tắt', 'đèn', 'complain', 'ko', 'chiếu', 'đc', 'refill', 'bâp', 'nc', 'ko', 'hoàn', 'tiền', 'nv', 'xử_lý', 'cực_kỳ', 'chậm', 'chuyên_nghiệp']"
Thanh Phong,7 năm trước,"Ko hiểu sao khách thì đông mà ko dám xếp nhiều ghế trong khi còn rộng thên than, vào xem buổi trưa vs tối toàn thấy khách đứng chờ ko. Ko hiểu sao nhìn vậy mà coi đc.",1,CGV Vincom Đồng Khởi,0,ko đông ko dám xếp ghế rộng thên than trưa vs tối toàn đứng chờ ko ko coi đc,"['ko', 'đông', 'ko', 'dám', 'xếp', 'ghế', 'rộng', 'thên', 'than', 'trưa', 'vs', 'tối', 'toàn', 'đứng', 'chờ', 'ko', 'ko', 'coi', 'đc']"
HẢI NGUYỄN HOÀNG,một năm trước,"Mình bảo mua bắp nước mà nhân viên tự động bán thành combo the hunger games, trong khi mình xem phim của Taylor Swift. Làm ăn lừa đảo. Không bao giờ đi chỗ này lần 2.",1,CGV Vincom Thủ Đức,0,bảo mua bắp nhân viên động thành combo the hunger games phim taylor swift lừa đảo bao đi chỗ 2,"['bảo', 'mua', 'bắp', 'nhân_viên', 'động', 'thành', 'combo', 'the', 'hunger', 'games', 'phim', 'taylor', 'swift', 'lừa_đảo', 'bao', 'đi', 'chỗ', '2']"
Linh Ngô Nhật,3 tháng trước,"Rạp screenX coi đã nhé, tiếc là mình coi được có mấy phút à vì máy chiếu hư :)

Hôm mình coi máy bị hư nhưng chiếu được 1 nửa nhân viên mới thông báo, mình đã …",1,CGV Hùng Vương Plaza,0,rạp screenx coi tiếc coi mấy phút máy chiếu hư hôm coi máy hư chiếu 1 nửa nhân viên thông báo,"['rạp', 'screenx', 'coi', 'tiếc', 'coi', 'mấy', 'phút', 'máy_chiếu', 'hư', 'hôm', 'coi', 'máy', 'hư', 'chiếu', '1', 'nửa', 'nhân_viên', 'thông_báo']"
Jurin Nguyễn,6 tháng trước,"CẢM GIÁC NHƯ BỊ LỪA 😡
Mình mua 3 vé xem phim kèm bắp nước. Nhân viên báo combo 200k và kêu chọn cái ly linh vật gì gì đó. Mình không thích ly đó và cú lừa bắt đầu : …",1,CGV Vincom Đồng Khởi,0,cảm giác lừa mua 3 vé phim kèm bắp nhân viên báo combo 200k kêu ly linh vật ly cú lừa bắt đầu,"['cảm_giác', 'lừa', 'mua', '3', 'vé', 'phim', 'kèm', 'bắp', 'nhân_viên', 'báo', 'combo', '200k', 'kêu', 'ly', 'linh', 'vật', 'ly', 'cú', 'lừa', 'bắt_đầu']"
Nhat Diem Phan,2 năm trước,"Nhân viên phục vụ tệ. Bắp thì khiến người dùng bị ngộ độc thực phẩm.
Hôm nay ngày 04/05/2022 tôi có mua 2 vé xem Dr Strange, và phần bắp caramel + nước suối . …",1,CGV Vivo City,0,nhân viên phục vụ tệ bắp ngộ độc thực phẩm hôm 04 05 2022 mua 2 vé dr strange bắp caramel + suối,"['nhân_viên', 'phục_vụ', 'tệ', 'bắp', 'ngộ_độc', 'thực_phẩm', 'hôm', '04', '05', '2022', 'mua', '2', 'vé', 'dr', 'strange', 'bắp', 'caramel', '+', 'suối']"
Hoa Luong,một năm trước,Mua bắp nước nhân viên không đưa bill cũng không hỏi khách thẻ thành viên để tích điểm. Thanh toán xong mới nói lỡ bấm qua rồi nên không tích điểm được nữa. Tệ,1,CGV Pandora City,0,mua bắp nhân viên bill thẻ thành viên tích toán xong lỡ bấm tích tệ,"['mua', 'bắp', 'nhân_viên', 'bill', 'thẻ', 'thành_viên', 'tích', 'toán', 'xong', 'lỡ', 'bấm', 'tích_tệ']"
VõThị MộngDuyy,9 tháng trước,"Nhân Viên quầy bán vé “ Nguyễn Minh Trí” 12/2, 22h thái độ phục vụ kh nhiệt tình giới thiệu nước vé kh rỏ ràng,không tôn trọng khách hàng, rât tụt mood",1,CGV Vincom Gò vấp,0,nhân viên quầy vé “ nguyễn minh trí” 12 2 22h thái độ phục vụ kh nhiệt tình giới thiệu vé kh rỏ ràng tôn trọng hàng rât tụt mood,"['nhân_viên', 'quầy', 'vé', '“', 'nguyễn', 'minh_trí', '”', '12', '2', '22h', 'thái_độ', 'phục_vụ', 'kh', 'nhiệt_tình', 'giới_thiệu', 'vé', 'kh', 'rỏ', 'ràng', 'tôn_trọng', 'hàng', 'rât', 'tụt', 'mood']"
Nguyễn Văn Châu,6 tháng trước,"Mới đầu tưởng nhân viên khờ tư vấn nói k rõ, liên tục xin lỗi. Đọc đánh giá mới thấy là việc nói lấp lửng combo kèm quà là để upsale. Thì thấy cố tình.",1,CGV Pandora City,0,đầu tưởng nhân viên khờ tư vấn k liên tục lỗi đọc đánh giá lấp lửng combo kèm quà upsale cố tình,"['đầu', 'tưởng', 'nhân_viên', 'khờ', 'tư_vấn', 'k', 'liên_tục', 'lỗi', 'đọc', 'đánh_giá', 'lấp_lửng', 'combo', 'kèm', 'quà', 'upsale', 'cố_tình']"
Vũ Anh Thi Hồ,4 tháng trước,"Nhân viên không thấy
Mình vào trễ nhân viên cũng ko hướng dẫn vào rạp
Đến khi vào có bn ngồi nhầm chỗ mình làm mình ko có chỗ kiếm nhân viên lại ko có …",1,CGV Hoàng Văn Thụ,0,nhân viên trễ nhân viên ko hướng rạp bn nhầm chỗ ko chỗ kiếm nhân viên ko,"['nhân_viên', 'trễ', 'nhân_viên', 'ko', 'hướng', 'rạp', 'bn', 'nhầm', 'chỗ', 'ko', 'chỗ', 'kiếm', 'nhân_viên', 'ko']"
Quế Trân,4 tháng trước,Thái độ nhân viên vô cùng tệ. Tư vấn khách hàng không rõ ràng. Dù 1 bài đánh giá này không có ảnh hưởng gì nhưng sẽ KHÔNG BAO GIỜ ĐẾN CGV 1 lần nào nữa.,1,CGV AEON Bình Tân,0,thái độ nhân viên vô tệ tư vấn hàng ràng 1 đánh giá ảnh hưởng bao cgv 1,"['thái_độ', 'nhân_viên', 'vô_tệ', 'tư_vấn', 'hàng', 'ràng', '1', 'đánh_giá', 'ảnh_hưởng', 'bao', 'cgv', '1']"
Willow,một năm trước,Màn hình 3D vừa nhỏ vừa mờ thêm cái kính đeo cũng mờ. Xem 3D mà thua xa 2D. Ai đi rạp cgv ở đây thì xem 2D nét hơn nhé. Háo hức đi coi mà vô chưng hửng.,1,CGV Vincom Center Landmark,0,màn hình 3d mờ kính đeo mờ 3d thua 2d đi rạp cgv 2d nét háo hức đi coi vô chưng hửng,"['màn_hình', '3d', 'mờ', 'kính', 'đeo', 'mờ', '3d', 'thua', '2d', 'đi', 'rạp', 'cgv', '2d', 'nét', 'háo_hức', 'đi', 'coi', 'vô', 'chưng_hửng']"
Lam Anh Le,7 tháng trước,"Rạp gold class số 2 loa quá lớn rất là chói tai, máy chiếu bị gì đó kêu rất là ồn và phòng cũng có mùi gì đó khó tả. Mình xem suất 14h40 ngày 20/04/2024",1,CGV Vincom Đồng Khởi,0,rạp gold class 2 loa chói tai máy chiếu kêu ồn phòng mùi tả suất 14h40 20 04 2024,"['rạp', 'gold', 'class', '2', 'loa', 'chói', 'tai', 'máy_chiếu', 'kêu', 'ồn', 'phòng', 'mùi', 'tả', 'suất', '14h40', '20', '04', '2024']"
Lâm Hán,một năm trước,"Mình mua vé onl , suất 20h10 phim Con Nhót Mót chồng, đến rạp lấy vé thì nv thông báo hệ thống rạp hư dàn lạnh, mua nước suối thì hết nước suối. Quá tệ !",1,CGV Hoàng Văn Thụ,0,mua vé onl suất 20h10 phim nhót mót chồng rạp vé nv thông báo hệ thống rạp hư dàn lạnh mua suối suối tệ,"['mua', 'vé', 'onl', 'suất', '20h10', 'phim', 'nhót', 'mót', 'chồng', 'rạp', 'vé', 'nv', 'thông_báo', 'hệ_thống', 'rạp', 'hư', 'dàn', 'lạnh', 'mua', 'suối', 'suối', 'tệ']"
Quang Trương Ngọc,5 năm trước,"Quản lí rất tệ, người lạ tới sẽ ko biết chỗ gửi xe vì ko có bảng chỉ dẫn rõ ràng. Vào trong tòa nhà cũng ko biết khu nào có cái  gì vì ko có bảng chỉ dẫn.",1,CGV Vivo City,0,quản lí tệ lạ ko chỗ gửi xe ko bảng ràng tòa ko khu ko bảng,"['quản_lí', 'tệ', 'lạ', 'ko', 'chỗ', 'gửi', 'xe', 'ko', 'bảng', 'ràng', 'tòa', 'ko', 'khu', 'ko', 'bảng']"
유럽,một năm trước,"Ngay cả sau khi bộ phim kết thúc, có vẻ như nơi này vẫn chưa được dọn dẹp...
Tôi ước họ phát một video yêu cầu mọi người không gây ồn ào trước buổi chiếu.",1,CGV Sư Vạn Hạnh,0,phim kết thúc vẻ dọn dẹp ước phát video yêu cầu ồn chiếu,"['phim', 'kết_thúc_vẻ', 'dọn_dẹp', 'ước', 'phát', 'video', 'yêu_cầu', 'ồn', 'chiếu']"
linga42,một tháng trước,CGV này tệ quá. Không có đồ ăn nhẹ mà chỉ có bỏng ngô khi chúng tôi nhận được vé. CGV tự quảng cáo mình là rạp chiếu phim cao cấp nhưng họ không quan tâm.,1,CGV Vincom Đồng Khởi,0,cgv tệ đồ nhẹ bỏng ngô vé cgv quảng cáo rạp chiếu phim quan tâm,"['cgv', 'tệ', 'đồ', 'nhẹ', 'bỏng', 'ngô', 'vé', 'cgv', 'quảng_cáo', 'rạp', 'chiếu_phim', 'quan_tâm']"
Thinh Nguyen Duc,4 năm trước,"Vé vừa mua không thể đổi sang khung giờ sau. Vì giữ nguyên tắc, người quản lý nói rằng họ không quan tâm và sẵn sàng mất đi một khách hàng như tôi mãi mãi.",1,CGV Sư Vạn Hạnh,0,vé mua thể đổi khung nguyên tắc quản lý quan tâm sẵn sàng đi hàng mãi mãi,"['vé', 'mua', 'thể', 'đổi', 'khung', 'nguyên_tắc', 'quản_lý', 'quan_tâm', 'sẵn_sàng', 'đi', 'hàng', 'mãi_mãi']"
Chi Chen,2 năm trước,"Dịch vụ tồi! Nhân viên nói nhỏ quá, xin anh nhắc lại lần nữa, anh chỉ trợn mắt.
Hãy đến rạp này nhiều lần, thực sự không hài lòng với dịch vụ ngày hôm nay!",1,CGV Vincom Đồng Khởi,0,dịch vụ tồi nhân viên nhắc trợn mắt rạp thực hài dịch vụ hôm,"['dịch_vụ', 'tồi', 'nhân_viên', 'nhắc_trợn', 'mắt', 'rạp', 'thực', 'hài', 'dịch_vụ', 'hôm']"
Bich Tram Bui,7 tháng trước,"Mình xem phim Lật Mặt 7 xuất chiếu 22 : 10 ,phim thì hay mà rạp thì thúi .Mùi như đồ ăn lên men ,ôi nó chua kinh khủng khiếp.
Quá tệ cho lần trải nghiệm này.",1,CGV Vincom Gò vấp,0,phim lật mặt 7 xuất chiếu 22 10 phim rạp thúi mùi đồ men ôi chua kinh khủng khiếp tệ trải nghiệm,"['phim', 'lật', 'mặt', '7', 'xuất', 'chiếu', '22', '10', 'phim', 'rạp', 'thúi', 'mùi', 'đồ', 'men', 'ôi', 'chua', 'kinh_khủng_khiếp', 'tệ', 'trải', 'nghiệm']"
KaiH,2 tháng trước,"Mình có coi tại rạp 3, tầng 2, ấn tượng là ghế rất là hôi ngồi coi mà nó cứ xộc mùi lên mũi rất là khó chịu, phim lên mà âm thanh cũng không có luôn thua thật",1,CGV Hoàng Văn Thụ,0,coi rạp 3 tầng 2 ấn tượng ghế hôi coi xộc mùi mũi phim âm thua,"['coi', 'rạp', '3', 'tầng', '2', 'ấn_tượng', 'ghế', 'hôi', 'coi', 'xộc', 'mùi', 'mũi', 'phim', 'âm', 'thua']"
Ruben Martinez,6 năm trước,Rạp chiếu phim ngu ngốc nhất mà tôi từng xem trong một thời gian dài. Không mở cửa quá 9h30 và họ không bao giờ có bỏng ngô mặn. Đánh bại quan điểm đi xem phim,1,CGV Thảo Điền,0,rạp chiếu phim ngu ngốc thời gian cửa 9h30 bao bỏng ngô mặn đánh bại quan đi phim,"['rạp', 'chiếu_phim', 'ngu_ngốc', 'thời_gian', 'cửa', '9h30', 'bao', 'bỏng', 'ngô', 'mặn', 'đánh_bại', 'quan', 'đi', 'phim']"
Summer Vu,8 tháng trước,"Hôm mùng 9 Tết mình cùng bạn đi xem phim Mai. Rạp tiết kiệm điện hay sao, máy lạnh không chạy. Xem phim mà cứ như xông hơi. Mồ hôi chảy mà muốn bỏ về nửa chừng.",1,CGV Lý Chính Thắng,0,hôm mùng 9 tết đi phim mai rạp tiết kiệm điện máy lạnh chạy phim xông hơi mồ hôi chảy nửa chừng,"['hôm', 'mùng', '9', 'tết', 'đi', 'phim', 'mai', 'rạp', 'tiết_kiệm', 'điện_máy_lạnh', 'chạy', 'phim', 'xông_hơi', 'mồ_hôi', 'chảy', 'nửa_chừng']"
Thành Đạt Phạm,5 tháng trước,"Trải Nghiệm Tồi Tại CGV Sư Vạn Hạnh: Bị Nhân Viên Lừa Dối Khi Mua Vé

Mình vừa có một trải nghiệm vô cùng thất vọng tại CGV Sư Vạn Hạnh. Khi mình mua …",1,CGV Sư Vạn Hạnh,0,trải nghiệm tồi cgv sư vạn hạnh nhân viên lừa dối mua vé trải nghiệm vô thất vọng cgv sư vạn hạnh mua,"['trải', 'nghiệm', 'tồi', 'cgv', 'sư', 'vạn', 'hạnh_nhân_viên', 'lừa_dối', 'mua', 'vé', 'trải', 'nghiệm', 'vô', 'thất_vọng', 'cgv', 'sư', 'vạn', 'hạnh', 'mua']"
Hà Lê Nguyệt,một năm trước,Phim thì oke đấy nhưng rạp lạnh vcl éo hiểu sao ướp xác hay gì mà lạnh vậy. Tắt bớt điều hòa đi có phải đỡ tốn điện ko. Mẹ xem xong phim lạnh quá đau hết khớp đầu gối,1,CGV Sư Vạn Hạnh,0,phim oke đấy rạp lạnh vcl éo ướp xác lạnh tắt bớt hòa đi đỡ tốn điện ko mẹ xong phim lạnh đau khớp đầu gối,"['phim', 'oke', 'đấy', 'rạp', 'lạnh', 'vcl', 'éo', 'ướp', 'xác', 'lạnh', 'tắt', 'bớt', 'hòa', 'đi', 'đỡ', 'tốn', 'điện', 'ko', 'mẹ', 'xong', 'phim', 'lạnh', 'đau', 'khớp', 'đầu_gối']"
Anh Thư Đỗ Ngọc,4 tháng trước,"Nhân viên nói khách phim chiếu 3 tiếng để bắt khách mua bắp nước, mình chủ quan không nhìn thời gian trên vé. Nhưng lúc coi thì chưa được 2 tiếng. Nhân viên thái độ tệ",1,CGV Pearl Plaza,0,nhân viên phim chiếu 3 tiếng bắt mua bắp chủ quan thời gian vé coi 2 tiếng nhân viên thái độ tệ,"['nhân_viên', 'phim', 'chiếu', '3', 'tiếng', 'bắt', 'mua', 'bắp', 'chủ_quan', 'thời_gian', 'vé', 'coi', '2', 'tiếng', 'nhân_viên', 'thái_độ', 'tệ']"
Lý Thanh Phong,10 tháng trước,Từ ngày dịch vụ chăm sóc khách hàng xuống cấp không còn theo chuẩn khách sạn như mấy năm trước thì rạp này không còn ưu điểm gì luôn. Hồi xưa kiểu cứ coi là muốn quay lại. …,1,CGV Liberty Citypoint,0,dịch vụ chăm sóc hàng chuẩn sạn mấy rạp ưu hồi xưa kiểu coi,"['dịch_vụ', 'chăm_sóc', 'hàng', 'chuẩn', 'sạn', 'mấy', 'rạp', 'ưu', 'hồi', 'xưa', 'kiểu', 'coi']"
Vu Oanh Đinh Nguyen,8 tháng trước,"Nay mình có trải nghiệm cực tệ ở cgv phan văn trị , mình coi phim quật mộ trùng ma suất 8:40 ngày 19/3/24 do bạn có vẻ là sup bán vé :))) cực kì thái độ và nói chuyện rất cọc",1,CGV Vincom Gò vấp,0,trải nghiệm cực tệ cgv phan văn trị coi phim quật mộ trùng ma suất 8 40 19 3 24 vẻ sup vé cực kì thái độ cọc,"['trải', 'nghiệm', 'cực', 'tệ', 'cgv', 'phan', 'văn', 'trị', 'coi', 'phim', 'quật', 'mộ', 'trùng', 'ma', 'suất', '8', '40', '19', '3', '24', 'vẻ', 'sup', 'vé', 'cực_kì', 'thái_độ', 'cọc']"
Becker Gustav,6 năm trước,"Đi 4 người mua 3 ghế giống như CGV khác nhưng soát vé bắt  phải quay  lại. Bé dưới 4 tuổi đi theo phải mua thêm 1 vé cho bé dù bé ngồi trên đùi bố, ghé kia ở đâu đó trong rạp.",1,CGV Saigonres Nguyễn Xí,0,đi 4 mua 3 ghế cgv soát vé bắt bé 4 đi mua 1 vé bé bé đùi bố ghé kia rạp,"['đi', '4', 'mua', '3', 'ghế', 'cgv', 'soát', 'vé', 'bắt', 'bé', '4', 'đi', 'mua', '1', 'vé', 'bé', 'bé', 'đùi', 'bố', 'ghé', 'kia', 'rạp']"
Mai Ngọc,3 tháng trước,Mình thường xuyên xem phim ở rạp này mà hôm nay chất lượng dichh vụ rất kém. Mình lại hỏi oder nước mà bạn nhân viên nam nch rất cọc cằn và thái độ. Mình thực sự rất khó chịu.,1,CGV Celadon,0,xuyên phim rạp hôm chất dichh vụ kém oder nhân viên nam nch cọc cằn thái độ thực,"['xuyên', 'phim', 'rạp', 'hôm', 'chất', 'dichh', 'vụ', 'kém', 'oder', 'nhân_viên', 'nam', 'nch', 'cọc', 'cằn', 'thái_độ', 'thực']"
C.K B.,một năm trước,"Chưa hết phim còn tận 15p mới hết phim mà rạp đã bật đèn, rất nhiều lần.

The theater tempt to turn on the lights 15 mins before the move ends? And this is not the first time!",1,CGV Vincom Thủ Đức,0,phim tận 15p phim rạp bật đèn the theater tempt to turn on the lights 15 mins before the move ends and this is not the first time,"['phim', 'tận', '15p', 'phim', 'rạp', 'bật', 'đèn', 'the', 'theater', 'tempt', 'to', 'turn', 'on', 'the', 'lights', '15', 'mins', 'before', 'the', 'move', 'ends', 'and', 'this', 'is', 'not', 'the', 'first', 'time']"
Như Phạm,8 tháng trước,"Nhân viên tư vấn không rõ ràng , thái độ với khách hàng .
Mình mua 2 vé và combo 1bắp 1 nước
Lúc đầu nvien tư vấn có muốn đổi loại nước trái cây hay trà sữa không ?! Mình ok …",1,CGV Hoàng Văn Thụ,0,nhân viên tư vấn ràng thái độ hàng mua 2 vé combo 1bắp 1 đầu nvien tư vấn đổi trái trà sữa ok,"['nhân_viên', 'tư_vấn', 'ràng', 'thái_độ', 'hàng', 'mua', '2', 'vé', 'combo', '1bắp', '1', 'đầu', 'nvien', 'tư_vấn', 'đổi', 'trái', 'trà', 'sữa', 'ok']"
Nguyễn Tâm Nhi,3 tuần trước,"Mình mua có 1 phần bắp mix 2 vị mà nhân viên tự ý lấy combo rồi tính giá 238K còn kêu tặng kèm 6 lon monster nữa??
Đâu có nhu cầu lấy lốc nước đâu trời tự nhiên tính vô là sao",1,CGV Sư Vạn Hạnh,0,mua 1 bắp mix 2 vị nhân viên combo giá 238k kêu tặng kèm 6 lon monster nhu cầu lốc trời nhiên vô,"['mua', '1', 'bắp', 'mix', '2', 'vị', 'nhân_viên', 'combo', 'giá', '238k', 'kêu', 'tặng', 'kèm', '6', 'lon', 'monster', 'nhu_cầu', 'lốc', 'trời', 'nhiên', 'vô']"
