reviewer,time,context,ranking,Chi nhánh,Sentiment
VõThị MộngDuyy,9 tháng trước,"Nhân Viên quầy bán vé “ Nguyễn Minh Trí” 12/2, 22h thái độ phục vụ kh nhiệt tình giới thiệu nước vé kh rỏ ràng,không tôn trọng khách hàng, rât tụt mood",1,CGV Vincom Gò vấp,0
Nguyễn Văn Châu,6 tháng trước,"Mới đầu tưởng nhân viên khờ tư vấn nói k rõ, liên tục xin lỗi. Đọc đánh giá mới thấy là việc nói lấp lửng combo kèm quà là để upsale. Thì thấy cố tình.",1,CGV Pandora City,0
Vũ Anh Thi Hồ,4 tháng trước,"Nhân viên không thấy
Mình vào trễ nhân viên cũng ko hướng dẫn vào rạp
Đến khi vào có bn ngồi nhầm chỗ mình làm mình ko có chỗ kiếm nhân viên lại ko có …",1,CGV Hoàng Văn Thụ,0
Quế Trân,4 tháng trước,Thái độ nhân viên vô cùng tệ. Tư vấn khách hàng không rõ ràng. Dù 1 bài đánh giá này không có ảnh hưởng gì nhưng sẽ KHÔNG BAO GIỜ ĐẾN CGV 1 lần nào nữa.,1,CGV AEON Bình Tân,0
Willow,một năm trước,Màn hình 3D vừa nhỏ vừa mờ thêm cái kính đeo cũng mờ. Xem 3D mà thua xa 2D. Ai đi rạp cgv ở đây thì xem 2D nét hơn nhé. Háo hức đi coi mà vô chưng hửng.,1,CGV Vincom Center Landmark,0
Lam Anh Le,7 tháng trước,"Rạp gold class số 2 loa quá lớn rất là chói tai, máy chiếu bị gì đó kêu rất là ồn và phòng cũng có mùi gì đó khó tả. Mình xem suất 14h40 ngày 20/04/2024",1,CGV Vincom Đồng Khởi,0
Lâm Hán,một năm trước,"Mình mua vé onl , suất 20h10 phim Con Nhót Mót chồng, đến rạp lấy vé thì nv thông báo hệ thống rạp hư dàn lạnh, mua nước suối thì hết nước suối. Quá tệ !",1,CGV Hoàng Văn Thụ,0
Quang Trương Ngọc,5 năm trước,"Quản lí rất tệ, người lạ tới sẽ ko biết chỗ gửi xe vì ko có bảng chỉ dẫn rõ ràng. Vào trong tòa nhà cũng ko biết khu nào có cái  gì vì ko có bảng chỉ dẫn.",1,CGV Vivo City,0
유럽,một năm trước,"Ngay cả sau khi bộ phim kết thúc, có vẻ như nơi này vẫn chưa được dọn dẹp...
Tôi ước họ phát một video yêu cầu mọi người không gây ồn ào trước buổi chiếu.",1,CGV Sư Vạn Hạnh,0
linga42,một tháng trước,CGV này tệ quá. Không có đồ ăn nhẹ mà chỉ có bỏng ngô khi chúng tôi nhận được vé. CGV tự quảng cáo mình là rạp chiếu phim cao cấp nhưng họ không quan tâm.,1,CGV Vincom Đồng Khởi,0
Thinh Nguyen Duc,4 năm trước,"Vé vừa mua không thể đổi sang khung giờ sau. Vì giữ nguyên tắc, người quản lý nói rằng họ không quan tâm và sẵn sàng mất đi một khách hàng như tôi mãi mãi.",1,CGV Sư Vạn Hạnh,0
Chi Chen,2 năm trước,"Dịch vụ tồi! Nhân viên nói nhỏ quá, xin anh nhắc lại lần nữa, anh chỉ trợn mắt.
Hãy đến rạp này nhiều lần, thực sự không hài lòng với dịch vụ ngày hôm nay!",1,CGV Vincom Đồng Khởi,0
Bich Tram Bui,7 tháng trước,"Mình xem phim Lật Mặt 7 xuất chiếu 22 : 10 ,phim thì hay mà rạp thì thúi .Mùi như đồ ăn lên men ,ôi nó chua kinh khủng khiếp.
Quá tệ cho lần trải nghiệm này.",1,CGV Vincom Gò vấp,0
KaiH,2 tháng trước,"Mình có coi tại rạp 3, tầng 2, ấn tượng là ghế rất là hôi ngồi coi mà nó cứ xộc mùi lên mũi rất là khó chịu, phim lên mà âm thanh cũng không có luôn thua thật",1,CGV Hoàng Văn Thụ,0
Ruben Martinez,6 năm trước,Rạp chiếu phim ngu ngốc nhất mà tôi từng xem trong một thời gian dài. Không mở cửa quá 9h30 và họ không bao giờ có bỏng ngô mặn. Đánh bại quan điểm đi xem phim,1,CGV Thảo Điền,0
Summer Vu,8 tháng trước,"Hôm mùng 9 Tết mình cùng bạn đi xem phim Mai. Rạp tiết kiệm điện hay sao, máy lạnh không chạy. Xem phim mà cứ như xông hơi. Mồ hôi chảy mà muốn bỏ về nửa chừng.",1,CGV Lý Chính Thắng,0
Thành Đạt Phạm,5 tháng trước,"Trải Nghiệm Tồi Tại CGV Sư Vạn Hạnh: Bị Nhân Viên Lừa Dối Khi Mua Vé

Mình vừa có một trải nghiệm vô cùng thất vọng tại CGV Sư Vạn Hạnh. Khi mình mua …",1,CGV Sư Vạn Hạnh,0
Hà Lê Nguyệt,một năm trước,Phim thì oke đấy nhưng rạp lạnh vcl éo hiểu sao ướp xác hay gì mà lạnh vậy. Tắt bớt điều hòa đi có phải đỡ tốn điện ko. Mẹ xem xong phim lạnh quá đau hết khớp đầu gối,1,CGV Sư Vạn Hạnh,0
Anh Thư Đỗ Ngọc,4 tháng trước,"Nhân viên nói khách phim chiếu 3 tiếng để bắt khách mua bắp nước, mình chủ quan không nhìn thời gian trên vé. Nhưng lúc coi thì chưa được 2 tiếng. Nhân viên thái độ tệ",1,CGV Pearl Plaza,0
Lý Thanh Phong,10 tháng trước,Từ ngày dịch vụ chăm sóc khách hàng xuống cấp không còn theo chuẩn khách sạn như mấy năm trước thì rạp này không còn ưu điểm gì luôn. Hồi xưa kiểu cứ coi là muốn quay lại. …,1,CGV Liberty Citypoint,0
Vu Oanh Đinh Nguyen,8 tháng trước,"Nay mình có trải nghiệm cực tệ ở cgv phan văn trị , mình coi phim quật mộ trùng ma suất 8:40 ngày 19/3/24 do bạn có vẻ là sup bán vé :))) cực kì thái độ và nói chuyện rất cọc",1,CGV Vincom Gò vấp,0
Becker Gustav,6 năm trước,"Đi 4 người mua 3 ghế giống như CGV khác nhưng soát vé bắt  phải quay  lại. Bé dưới 4 tuổi đi theo phải mua thêm 1 vé cho bé dù bé ngồi trên đùi bố, ghé kia ở đâu đó trong rạp.",1,CGV Saigonres Nguyễn Xí,0
Mai Ngọc,3 tháng trước,Mình thường xuyên xem phim ở rạp này mà hôm nay chất lượng dichh vụ rất kém. Mình lại hỏi oder nước mà bạn nhân viên nam nch rất cọc cằn và thái độ. Mình thực sự rất khó chịu.,1,CGV Celadon,0
C.K B.,một năm trước,"Chưa hết phim còn tận 15p mới hết phim mà rạp đã bật đèn, rất nhiều lần.

The theater tempt to turn on the lights 15 mins before the move ends? And this is not the first time!",1,CGV Vincom Thủ Đức,0
Như Phạm,8 tháng trước,"Nhân viên tư vấn không rõ ràng , thái độ với khách hàng .
Mình mua 2 vé và combo 1bắp 1 nước
Lúc đầu nvien tư vấn có muốn đổi loại nước trái cây hay trà sữa không ?! Mình ok …",1,CGV Hoàng Văn Thụ,0
Nguyễn Tâm Nhi,3 tuần trước,"Mình mua có 1 phần bắp mix 2 vị mà nhân viên tự ý lấy combo rồi tính giá 238K còn kêu tặng kèm 6 lon monster nữa??
Đâu có nhu cầu lấy lốc nước đâu trời tự nhiên tính vô là sao",1,CGV Sư Vạn Hạnh,0
Quỳnh Lê,6 năm trước,"Hầm gửi xe cũng là đường cống thoát nước của tòa nhà, rất hôi.
Vào gửi xe bên hông tòa nhà của CGV quản lí (gửi xe miễn phí nếu còn giữ vé) nhưng nhân viên không thân thiện. …",1,CGV CT,0
Mai Nguyễn,3 tháng trước,"dịch vụ tệ, nhân viên tỏ thái độ khi sử dụng ưu đãi cho U22, mình mua bắp ngọt nhưng không nóng, nhân viên đưa bắp như đang dằn mặt làm rớt bắp vào người mình và không xin lỗi.",1,CGV Thảo Điền,0
Nhu Thao,2 tháng trước,Mình đi lúc 8h50  vào xem phim giá vé ổn mà nước tệ thì thôi lun mình barista uống nuốt ko nổi ly cũng 48k chứ có ít đâu ạ mong chỉnh sửa công thức nước lại để ủng hộ dài dài ạ,1,CGV Vincom Gò vấp,0
Le Nguyen Minh Thien,2 năm trước,"Thái Độ Nhân Viên rất KÉM !!!!
Quầy phục vụ nước có nhân viên thái độ kém. quẹt thẻ bị lỗi nhưng nói to với khách lý do ""thẻ ko đủ tiền"", ép khách mua nhiều hơn so với nhu cầu.",1,CGV Celadon,0
Văn Trường Đào,một năm trước,Hôm nay xem quá ồn hú hét quá nhiều hơi nhức đầu. Cho khán giả vô rạp bật flash ảnh hưởng đến màn chiếu và trải nghiệm của người khác. À màn IMAX mà bị dơ chính giữa hơi xu 😅 …,1,CGV Vivo City,0
Hieu Vu,6 năm trước,"Thật bẩn thỉu. Too Te.
Chúng tôi đã xem Ant Man ngày hôm qua. Hội trường không được dọn dẹp khi chúng tôi bước vào. Ngô bỏng ngô và cốc Soda ở khắp mọi nơi.  Sẽ không quay lại.",1,CGV Pearl Plaza,0
Thảo Mai,3 tháng trước,"Thường thì mình xem ở Aoen Bình Tân do gần nhà .Đây là lần đầu tiên mình xem CGV tại Hùng Vương .
1. Ghế sweet box nhỏ hơn . Khoét 1 phần ở trên nếu bạn không dựa lưng vào ghế …",1,CGV Hùng Vương Plaza,0
songnhu Truong,5 năm trước,"Sạch sẽ thoáng,  view ngồi waiting khá nhiều, tuy nhien nhân viên thì không thành thật lắm nha.
Mh lên book vé lúc 9pm Saturday, lúc lại mua nước. Mình đến sau 1 người dan ông …",1,CGV Vivo City,0
Hằng Nguyễn,9 tháng trước,"Chỗ giữ xe thông báo hết chỗ, đi xung quanh cũng không có, chỉ giữ xe cho cư dân. Đi xem phim mà không có chỗ để xe. Vừa mất vé, vừa bực. Cân nhắc trước khi đi vào cuối tuần",1,CGV Vincom Center Landmark,0
Cuong Pham,5 tháng trước,Nhân viên quầy vé thái độ với khách. Mặc dù chả có chuyện gì nhưng có thái độ khinh khỉnh xem thường khách. Mình 10 năm nay mới xem rạp 1 lần nhưng thấy các em mà chán,1,CGV Celadon,0
Uyênn Phương,5 tháng trước,"không ai hướng dẫn đi vào rạp
Hôm đó tôi vô trễ nhưng khi đến hàng ghế của mình thì bị giành chỗ. Khách hàng ngồi không đúng với số ghế trên vé. Bắp nguội, mềm nói chung dở.",1,CGV Celadon,0
Thanh Pham,7 tháng trước,"Không biết là rạp có set giờ tự động tắt máy lạnh hay không? 02 lần xem suất giờ cuối là nóng như lò lửa, mình và cả team vừa xem xong “Lật Mặt” và ngộp thở không chịu được",1,CGV Lý Chính Thắng,0
Ngân Anh Nguyễn,5 năm trước,2 lần đến nhân viên bán vé nói chuyện tiếp khách rất khó chịu và hình như không biết cười khi nc với khách. Không đáp ứng đúng nhu cầu khách hàng cần vì có thể là lười.,1,CGV Pandora City,0
Nguyen Nhat Kha Dang Tri,một năm trước,"Cực kỳ thất vọng về cụm rạp CGV ở đây.  Chất lượng máy chiếu xuống cấp, Hình ảnh rất mờ, tối gần như không thấy gì. Làm mất đi bản chất của những cảnh quay đẹp. Rất tệ.",1,CGV Saigonres Nguyễn Xí,0
Hoàng Thắng Official,một năm trước,"Nhân viên tư vấn rất thái độ, k nhiệt tình. Làm việc thì cứ bấm điện thoại. Chưa bao giờ xem cvg mà lại bực bội đến như vậy. Mặc dù là khách hàng thân thiết bao lâu nay",1,CGV Lý Chính Thắng,0
trang truong,4 tháng trước,"Cửu Long Thành Trại, suất 13g10 ngày 6/7/24. Coi phim ngày cuối tuần, giá vé hơn trăm cành mà ngồi không dám dựa. Ghế vậy cũng để trên map cho khách mua online được cơ.",1,CGV AEON Bình Tân,0
Tấn Anh Nguyen,một tháng trước,28/10/2024 combo 1 bắp 1 nước là 1 là 109 xong bắt mình mua combo kèm nước và free 1 vé là combo đó 259+1 vé ( mình đi 2 người ) bảo rẻ hơn ??? Tư vấn tốn của khách hàng,1,CGV Vincom Gò vấp,0
Thủy Tiên Phạm,3 ngày trước,"Đi xem phim ở đây phòng4 chiếu trễ, người xem ngồi đợi 15p chạy đi gọi nhân viên mới vào xin lỗi do sự cố kỹ thuật. Trong lúc xem thì mất tiếng 4 lần. Trải nghiệm quá tệ",1,CGV Vivo City,0
Trân Nguyễn Huỳnh Bảo,một năm trước,"Bắp nước bán mắc xỉu, đúng dụ khách. Nhỡ mà không cầm cả cccd thì chắc cả nước cả vé phải hơn 500k cho 2 người :))) Bán cắt cổ thật sự. Đúng chất không cần khách là đây.",1,CGV Giga Mall Thủ Đức,0
ngân trần,2 tuần trước,"1 trải nghiệm dịch vụ siêu tệ, mình đã từng đi nhiều rạp CGV nhưng chỗ này quản lý thái độ với mình ra mặt khiến mình cực kì khó chịu. Mình sẽ không đến đây 1 lần nào nữa",1,CGV Lý Chính Thắng,0
37-A3- Bích Trâm,5 tháng trước,"Nhân viên cực tệ cực ảnh hướng đến trải nghiệm của mình
Đồng thời quản lý cũng tệ nốt :))
- Chuyện là bn mình kêu 2 nước 1 bắp. Bạn nhân viên liên tục gợi ý kêu tụi mình …",1,CGV Vincom Thủ Đức,0
nhi phan,4 năm trước,"Đừng bao giờ đến rạp chiếu phim này để xem buổi chiếu muộn vì bạn sẽ không bao giờ biết cách vào bên trong tòa nhà / CGV không có hướng dẫn, không có hướng dẫn vui nhộn!!!",1,CGV Vincom Center Landmark,0
Ngoan Nguyen,5 năm trước,"Mọi người ko nên đi xem phim CGV này , cách mà nhân viên bán vé phục vụ hơi tệ ,khinh người , gặp quản lí nói chuyện quản lí lại ra oai hazzz biểu sao nhân viên không  láo",1,CGV Pearl Plaza,0
Ân Nguy,4 năm trước,"CGV làm việc kiểu gì vậy, Khách hàng complain trên FB Fanpage CGV thì chặn ngta trong khi ngta là khách hàng lâu năm. Không đúng không tốt thì ngta complain. Thôi bye CGV.",1,CGV Pandora City,0
Lam Lam,11 tháng trước,"mình có coi phim ở cgv vcom thủ đức và mình cực kì thất vọng cách nvien lùa gà khách hàng.
mình đi 4 người và chỉ đặt 1 bắp, 3 nước (vì sau đó tụi mình dành bụng đi ăn), …",1,CGV Vincom Thủ Đức,0
Ngọc Mai,6 tháng trước,"Rạp đã nhỏ mà lúc chiếu phim nhân viên liên tục đi vô ra xong đi qua đi lại nhòm nhòm ngó ngó rồi lại đi ra xem phim không tập trung được, mở máy lạnh còn hơn trong nhà xác",1,CGV Hùng Vương Plaza,0
Đạt Nguyễn,3 tuần trước,"Gửi mấy đĩ loz đi xem phim mà ồn và CGV!
* CGV nên có cách nhắc khéo hoặc nhân viên kiểm soát để tránh làm phiền không khí người khác. Nhiều lần cấm luôn đến rạp cho rồi. …",1,CGV Celadon,0
Văn Tuấn Nguyễn,3 tháng trước,Tư vấn Bắp nước cao hơn so vs giá mua trên mạng. Đến lúc hỏi lại thì bảo không thấy combo. Nhân viên mà k biết combo bắp nước bán như thế nào tư vấn sai để mua gói lớn hơn.,1,CGV Vincom Center Landmark,0
Hoang Long,2 năm trước,"Một trải nghiệm xem phim RẤT BỰC BỘI.
Tôi là khách xem Phim Spiderman: No Way Home suất 20g30 ngày 22/12/2021, Mọi thứ  vẫn ổn cho đến khi RẠP ĐÃ TẮT PHIM TRƯỚC AFTER CREDIT 2. …",1,CGV CT,0
ĐĂNG PHẠM,5 tháng trước,"Rạp đẹp , ghế dựa cứ lắc lư hoài xem không hài lòng ,đi thang cuốn từ tầng trệt lên lầu ba cao ,thái độ nhân viên như tạm chấp nhận ,phí giữ xe hơi mắc",1,CGV Pandora City,0
Phát Huỳnh,một năm trước,"Tôi xem phim suất 9g50 ngày 12.3, Tuổi trẻ huy hoàng, rạp 5.
Và đây là tình trạng rạp khi tôi vào, rất dơ, ghế nhiều bắp rơi, nước không ai dọn dẹp. …",1,CGV Liberty Citypoint,0
Lee Min Hae,một năm trước,Nhân viên thiếu chuyên nghiệp. Quá dở và tệ. Tư vấn không rõ ràng lành mạch. Quý anh chị đi hỏi kỹ không là xuất bill cao đấy nha,1,CGV AEON Bình Tân,0
Hunter Reynolds,8 năm trước,"Trộn lẫn với khách của khách sạn và những người khác và âm thanh không tốt lắm, tôi thực sự không nghĩ đây là nơi tốt để xem phim.",1,CGV Liberty Citypoint,0
Van Pham,5 tháng trước,Bắp caramel mà nhạt hơn cả bắp ngọt mà cx thu thêm tiền ra hỏi nhân viên thì nó nhăn vô mặt mình. Trãi nghiệm rạp tệ nhất từng gặp,1,CGV Pearl Plaza,0
any truyen,một năm trước,"Bắp nguội, ỉu xìu. Ăn giống đã để qua 1 ngày. Ăn mà tức muốn vứt luôn. Khi mua nhân viên đã để sẵn , có thể bắp này đã để rất lâu.",1,CGV Vincom Gò vấp,0
Duy Thanh Phạm,4 tháng trước,"CGV lừa đảo khách hàng quá, kêu rõ ràng 1 bắp 1 nước mà gáng order combo kitkat cho khách. Hãm quá CGV vs nhân viên Ngo Quoc Nghia",1,CGV Celadon,0
Nguyễn Bảo Hân,2 năm trước,"Nhân viên tên Vi đứng quầy cần được training lại:
1. Bán nhầm phim:
Black Adam thành phim Đặc Vụ Xuyên Quốc Gia ( giá 1 vé 105k) …",1,CGV Cresent Mall,0
Minh Anh Phạm,5 tháng trước,"Trải nghiệm đi xem phim cực tệ, nv thiếu chuyên nghiệp cực kì. Làm quá trình đặt vé vừa rối vừa gây bực bội cho khách hàng. TỆ HẠI",1,CGV Saigonres Nguyễn Xí,0
Pham Hong-Phuc,9 tháng trước,"Nhân viên trẻ nhưng không hề lịch sự. Mình đi xem lúc 8h30 sáng nhưng mặt mũi không hề lịch sự, nói chuyện rất khó chịu với khách.",1,CGV Celadon,0
hoài nam nguyễn,11 tháng trước,"Trải nghiệm mua vé đêm khuya tệ, nhân viên chỉ muốn hỏi khách hàng bắp nước chứ ko hề hỏi thẻ thành viên làm mình mất điểm tích luỹ",1,CGV Lý Chính Thắng,0
Trinh Phạm,một năm trước,"Nhân viên Nhi ở rạp rất khó chịu. Cũng là một trong những gương mặt đại diện cho rạp thì xét về thái độ dịch vụ phải nói 1 từ ""tệ"".",1,CGV Pandora City,0
Pham Khang,8 tháng trước,"Đang xem phim bị mất vietsub nhân viên không kiểm tra, cũng không thông báo, hướng dẫn khách hàng. Tệ. Không xem phim ở rạp này nữa.",1,CGV Cresent Mall,0
6771_ Huỳnh Anh kha,2 năm trước,bị nv giữ xe tầng b2 cố tình tính thêm tiền bạn mình đi trước 5k tới lượt mình 10k má cay ko đáng nhma lừa trước mặt vậy đau lắm chứ,1,CGV Pearl Plaza,0
Phương Vy Huỳnh Ngọc,6 tháng trước,"nói coi movie doraemon sớm là được tặng ấn phẩm xong đặt vé coi sớm mà tới hòi vô lấy vé nói hết ấn phẩm r không bù gì lun, chán thật",1,CGV Satra Củ Chi,0
Hiệp Trần Thanh,4 năm trước,đi ăn tiệc cưới đứa cháu mà nhớ đời.ăn món nào cũng thấy dỡ.đề nghị nhà hàng kiểm tra lại trình độ đầu bếp chứ không là mất hết khách,1,CGV Hoàng Văn Thụ,0
Lam Tam Nhu,7 tháng trước,Nhân viên không hỏi khách có mua ly không mà tự bấm  bill. Nói với khách là được tặng ly nhưng thật ra ly đó phải trả tiền . Gian dối,1,CGV Hoàng Văn Thụ,0
Jiang Zheng,2 năm trước,"Nhân viên làm khó khách hàng quá, nhờ chỉnh bỏ phần bắp nước mấy trăm nghìn thì bạn không bỏ, bạn để lại cho dù nói khan cả họng.",1,CGV Cresent Mall,0
Thiên Nhân Phạm Trần,5 năm trước,"Nhân viên hách dịch, nói chuyện với khách không có chủ vị (hình như bạn đó là quản lý). Bắt khách đứng đợi mà không nói lí do tại sao.",1,CGV Celadon,0
Hung Nguyen,một năm trước,"Trở lại sau nhiều năm. Rạp hôi hám, bẩn thiểu như 1 love hotel không bao giờ được vệ sinh. Giá vé 125k mà không có tiền vệ sinh.",1,CGV CT,0
Châu Lý Trần Ngọc,5 tháng trước,"18g10 chiếu phim mà 18g5 vẫn chưa cho khách vào, bắt ngồi chờ mãi ở ngoài. Thái độ người soát vé lạnh lùng. Tui xem ngày 08/6/24",1,CGV Giga Mall Thủ Đức,0
Tuấn Phùng,4 tháng trước,"Mua vé xuất chiếu 7h20 mà 7h50 vẫn chưa coi được, người dùng mua vé để coi phim ko phải vô coi quảng cáo, lũ quản lý mất dạy",1,CGV AEON Bình Tân,0
Nghia Vo,6 năm trước,Rạp chiếu phim có mùi hôi khó chịu. Tầng B2 hầm giữ xe hoạt động nhưng không mở điều hòa rất ngột ngạc. 20h20 ngày 27/10/2018,1,CGV Thảo Điền,0
Kate Le,8 tháng trước,"Đang xem phim thì bật đèn sáng choang hết 15p, gọi điện tổng đài thì không một lời xin lỗi, cũng không giải quyết gì hết 😅😅 …",1,CGV Saigonres Nguyễn Xí,0
men nguyen,5 tháng trước,"Phần bắp không hỏi khách đổi bắp phô mai không mà tự in vé rồi bảo in vé rồi không đổi được, cần training lại nhân viên kỹ hơn",1,CGV Giga Mall Thủ Đức,0
Thái Dương,một tháng trước,"Ở đây lừa mình bỏ thêm 40k để được ly nước, nhưng bill lại ra Hai trăm mấy trong khi mình chỉ mua 1 bắp 1 nước thui. Lừa dsaor",1,CGV Vivo City,0
Tranches Layers,4 tháng trước,"Toàn ba cái phim HQ ăn theo Hollywoood Mỹ, vừa dở, vừa nhạt, mà cũng chiếu đi chiếu lại miết. Rạp thì cũ, bắp thì dở, mềm xèo.",1,CGV Cresent Mall,0
Nhi Yến,4 tháng trước,"Báo là 2 ngày suất chiếu sớm conan được tặng huy hiệu vậy nên đặt vé trước mấy ngày
xong đến nơi thì bảo là hết từ hôm qua ???",1,CGV Sư Vạn Hạnh,0
Good Things,3 tháng trước,"Phim chưa xem hết mà thấy một đống ng khác ùa vào rạp rồi, còn nói chắc đang quảng cáo, không hiểu nhân viên đi đâu hết rồi???",1,CGV Vincom Center Landmark,0
Chris Hughes,5 năm trước,"Seats are really dirty.  Seriously, like brown stuff all over them.  Get that stuff cleaned up, no one wants to sit in that. …",1,CGV Pearl Plaza,0
Trang Gia Kỳ (GK),4 tháng trước,"SUẤT CHIẾU SỚM MOVIE 27 CONAN NHƯ TRÒ ĐÙA VẬY 😡

1. Mở bán vé online vào ngày 19/7 , tui săn lắm mới đc 2 vé vào rạp CGV Hùng …",1,CGV Hùng Vương Plaza,0
Hanh Tran,3 tháng trước,"mình có làm rơi tai nghe airpods trong rạp, khi quay lại báo mất và mong muốn dc vô tìm lại thì các bạn nvien ko cho. buồn thật",1,CGV Vincom Đồng Khởi,0
